,SiteName,LocationName,GenericLocation,Session,Date,Day,OrdDay,Covers
20,100 Wardour Street,Club,Restaurant,Dinner,2019-02-01,Friday,5_Friday,227
21,100 Wardour Street,Club,Restaurant,Dinner,2019-02-02,Saturday,6_Saturday,543
22,100 Wardour Street,Club,Restaurant,Dinner,2019-02-05,Tuesday,2_Tuesday,114
23,100 Wardour Street,Club,Restaurant,Dinner,2019-02-06,Wednesday,3_Wednesday,67
24,100 Wardour Street,Club,Restaurant,Dinner,2019-02-07,Thursday,4_Thursday,122
25,100 Wardour Street,Club,Restaurant,Dinner,2019-02-08,Friday,5_Friday,286
26,100 Wardour Street,Club,Restaurant,Dinner,2019-02-09,Saturday,6_Saturday,548
27,100 Wardour Street,Club,Restaurant,Dinner,2019-02-11,Monday,1_Monday,1
28,100 Wardour Street,Club,Restaurant,Dinner,2019-02-12,Tuesday,2_Tuesday,102
29,100 Wardour Street,Club,Restaurant,Dinner,2019-02-13,Wednesday,3_Wednesday,93
30,100 Wardour Street,Club,Restaurant,Dinner,2019-02-14,Thursday,4_Thursday,301
31,100 Wardour Street,Club,Restaurant,Dinner,2019-02-15,Friday,5_Friday,247
32,100 Wardour Street,Club,Restaurant,Dinner,2019-02-16,Saturday,6_Saturday,524
33,100 Wardour Street,Club,Restaurant,Dinner,2019-02-19,Tuesday,2_Tuesday,67
34,100 Wardour Street,Club,Restaurant,Dinner,2019-02-20,Wednesday,3_Wednesday,78
35,100 Wardour Street,Club,Restaurant,Dinner,2019-02-21,Thursday,4_Thursday,138
36,100 Wardour Street,Club,Restaurant,Dinner,2019-02-22,Friday,5_Friday,284
37,100 Wardour Street,Club,Restaurant,Dinner,2019-02-23,Saturday,6_Saturday,520
38,100 Wardour Street,Club,Restaurant,Dinner,2019-02-26,Tuesday,2_Tuesday,1
39,100 Wardour Street,Club,Restaurant,Dinner,2019-02-27,Wednesday,3_Wednesday,136
40,100 Wardour Street,Club,Restaurant,Dinner,2019-02-28,Thursday,4_Thursday,132
41,100 Wardour Street,Club,Restaurant,Dinner,2019-03-01,Friday,5_Friday,286
42,100 Wardour Street,Club,Restaurant,Dinner,2019-03-02,Saturday,6_Saturday,540
43,100 Wardour Street,Club,Restaurant,Dinner,2019-03-05,Tuesday,2_Tuesday,22
44,100 Wardour Street,Club,Restaurant,Dinner,2019-03-06,Wednesday,3_Wednesday,199
45,100 Wardour Street,Club,Restaurant,Dinner,2019-03-07,Thursday,4_Thursday,91
259,100 Wardour Street,Club,Restaurant,Dinner,2020-01-02,Thursday,4_Thursday,35
260,100 Wardour Street,Club,Restaurant,Dinner,2020-01-03,Friday,5_Friday,139
261,100 Wardour Street,Club,Restaurant,Dinner,2020-01-04,Saturday,6_Saturday,216
262,100 Wardour Street,Club,Restaurant,Dinner,2020-01-07,Tuesday,2_Tuesday,24
263,100 Wardour Street,Club,Restaurant,Dinner,2020-01-08,Wednesday,3_Wednesday,154
264,100 Wardour Street,Club,Restaurant,Dinner,2020-01-09,Thursday,4_Thursday,55
265,100 Wardour Street,Club,Restaurant,Dinner,2020-01-10,Friday,5_Friday,190
266,100 Wardour Street,Club,Restaurant,Dinner,2020-01-11,Saturday,6_Saturday,268
267,100 Wardour Street,Club,Restaurant,Dinner,2020-01-14,Tuesday,2_Tuesday,56
268,100 Wardour Street,Club,Restaurant,Dinner,2020-01-15,Wednesday,3_Wednesday,34
269,100 Wardour Street,Club,Restaurant,Dinner,2020-01-16,Thursday,4_Thursday,108
270,100 Wardour Street,Club,Restaurant,Dinner,2020-01-17,Friday,5_Friday,257
271,100 Wardour Street,Club,Restaurant,Dinner,2020-01-18,Saturday,6_Saturday,342
272,100 Wardour Street,Club,Restaurant,Dinner,2020-01-21,Tuesday,2_Tuesday,56
273,100 Wardour Street,Club,Restaurant,Dinner,2020-01-22,Wednesday,3_Wednesday,103
274,100 Wardour Street,Club,Restaurant,Dinner,2020-01-23,Thursday,4_Thursday,232
275,100 Wardour Street,Club,Restaurant,Dinner,2020-01-24,Friday,5_Friday,276
276,100 Wardour Street,Club,Restaurant,Dinner,2020-01-25,Saturday,6_Saturday,407
277,100 Wardour Street,Club,Restaurant,Dinner,2020-01-28,Tuesday,2_Tuesday,84
278,100 Wardour Street,Club,Restaurant,Dinner,2020-01-29,Wednesday,3_Wednesday,182
279,100 Wardour Street,Club,Restaurant,Dinner,2020-01-30,Thursday,4_Thursday,139
280,100 Wardour Street,Club,Restaurant,Dinner,2020-01-31,Friday,5_Friday,360
281,100 Wardour Street,Club,Restaurant,Dinner,2020-02-01,Saturday,6_Saturday,406
282,100 Wardour Street,Club,Restaurant,Dinner,2020-02-06,Thursday,4_Thursday,203
283,100 Wardour Street,Club,Restaurant,Dinner,2020-02-07,Friday,5_Friday,246
284,100 Wardour Street,Club,Restaurant,Dinner,2020-02-08,Saturday,6_Saturday,435
285,100 Wardour Street,Club,Restaurant,Dinner,2020-02-09,Sunday,7_Sunday,102
286,100 Wardour Street,Club,Restaurant,Dinner,2020-02-11,Tuesday,2_Tuesday,84
287,100 Wardour Street,Club,Restaurant,Dinner,2020-02-12,Wednesday,3_Wednesday,105
288,100 Wardour Street,Club,Restaurant,Dinner,2020-02-13,Thursday,4_Thursday,146
289,100 Wardour Street,Club,Restaurant,Dinner,2020-02-14,Friday,5_Friday,343
290,100 Wardour Street,Club,Restaurant,Dinner,2020-02-15,Saturday,6_Saturday,347
291,100 Wardour Street,Club,Restaurant,Dinner,2020-02-18,Tuesday,2_Tuesday,36
292,100 Wardour Street,Club,Restaurant,Dinner,2020-02-20,Thursday,4_Thursday,125
293,100 Wardour Street,Club,Restaurant,Dinner,2020-02-21,Friday,5_Friday,268
294,100 Wardour Street,Club,Restaurant,Dinner,2020-02-22,Saturday,6_Saturday,383
295,100 Wardour Street,Club,Restaurant,Dinner,2020-02-26,Wednesday,3_Wednesday,94
296,100 Wardour Street,Club,Restaurant,Dinner,2020-02-27,Thursday,4_Thursday,90
297,100 Wardour Street,Club,Restaurant,Dinner,2020-02-28,Friday,5_Friday,267
298,100 Wardour Street,Club,Restaurant,Dinner,2020-02-29,Saturday,6_Saturday,419
299,100 Wardour Street,Club,Restaurant,Dinner,2020-03-03,Tuesday,2_Tuesday,46
300,100 Wardour Street,Club,Restaurant,Dinner,2020-03-04,Wednesday,3_Wednesday,40
301,100 Wardour Street,Club,Restaurant,Dinner,2020-03-05,Thursday,4_Thursday,125
309,100 Wardour Street,Club,Restaurant,Lunch,2019-02-02,Saturday,6_Saturday,99
310,100 Wardour Street,Club,Restaurant,Lunch,2019-02-09,Saturday,6_Saturday,60
311,100 Wardour Street,Club,Restaurant,Lunch,2019-02-16,Saturday,6_Saturday,47
312,100 Wardour Street,Club,Restaurant,Lunch,2019-02-23,Saturday,6_Saturday,50
313,100 Wardour Street,Club,Restaurant,Lunch,2019-03-02,Saturday,6_Saturday,51
390,100 Wardour Street,Club,Restaurant,Lunch,2020-01-04,Saturday,6_Saturday,164
391,100 Wardour Street,Club,Restaurant,Lunch,2020-01-11,Saturday,6_Saturday,243
392,100 Wardour Street,Club,Restaurant,Lunch,2020-01-12,Sunday,7_Sunday,64
393,100 Wardour Street,Club,Restaurant,Lunch,2020-01-18,Saturday,6_Saturday,285
394,100 Wardour Street,Club,Restaurant,Lunch,2020-01-19,Sunday,7_Sunday,98
395,100 Wardour Street,Club,Restaurant,Lunch,2020-01-25,Saturday,6_Saturday,286
396,100 Wardour Street,Club,Restaurant,Lunch,2020-01-26,Sunday,7_Sunday,183
397,100 Wardour Street,Club,Restaurant,Lunch,2020-02-01,Saturday,6_Saturday,351
398,100 Wardour Street,Club,Restaurant,Lunch,2020-02-02,Sunday,7_Sunday,81
399,100 Wardour Street,Club,Restaurant,Lunch,2020-02-08,Saturday,6_Saturday,317
400,100 Wardour Street,Club,Restaurant,Lunch,2020-02-09,Sunday,7_Sunday,21
401,100 Wardour Street,Club,Restaurant,Lunch,2020-02-15,Saturday,6_Saturday,305
402,100 Wardour Street,Club,Restaurant,Lunch,2020-02-16,Sunday,7_Sunday,91
403,100 Wardour Street,Club,Restaurant,Lunch,2020-02-22,Saturday,6_Saturday,372
404,100 Wardour Street,Club,Restaurant,Lunch,2020-02-23,Sunday,7_Sunday,106
405,100 Wardour Street,Club,Restaurant,Lunch,2020-02-29,Saturday,6_Saturday,338
406,100 Wardour Street,Club,Restaurant,Lunch,2020-03-01,Sunday,7_Sunday,90
412,100 Wardour Street,Club Bar,Bar,Dinner,2020-01-16,Thursday,4_Thursday,2
413,100 Wardour Street,Club Bar,Bar,Dinner,2020-01-17,Friday,5_Friday,5
414,100 Wardour Street,Club Bar,Bar,Dinner,2020-01-22,Wednesday,3_Wednesday,2
415,100 Wardour Street,Club Bar,Bar,Dinner,2020-01-23,Thursday,4_Thursday,4
416,100 Wardour Street,Club Bar,Bar,Dinner,2020-01-24,Friday,5_Friday,7
417,100 Wardour Street,Club Bar,Bar,Dinner,2020-01-25,Saturday,6_Saturday,1
418,100 Wardour Street,Club Bar,Bar,Dinner,2020-01-28,Tuesday,2_Tuesday,2
419,100 Wardour Street,Club Bar,Bar,Dinner,2020-01-29,Wednesday,3_Wednesday,2
420,100 Wardour Street,Club Bar,Bar,Dinner,2020-01-30,Thursday,4_Thursday,3
421,100 Wardour Street,Club Bar,Bar,Dinner,2020-01-31,Friday,5_Friday,3
422,100 Wardour Street,Club Bar,Bar,Dinner,2020-02-01,Saturday,6_Saturday,1
423,100 Wardour Street,Club Bar,Bar,Dinner,2020-02-06,Thursday,4_Thursday,10
424,100 Wardour Street,Club Bar,Bar,Dinner,2020-02-07,Friday,5_Friday,3
425,100 Wardour Street,Club Bar,Bar,Dinner,2020-02-08,Saturday,6_Saturday,2
426,100 Wardour Street,Club Bar,Bar,Dinner,2020-02-11,Tuesday,2_Tuesday,4
427,100 Wardour Street,Club Bar,Bar,Dinner,2020-02-12,Wednesday,3_Wednesday,1
428,100 Wardour Street,Club Bar,Bar,Dinner,2020-02-13,Thursday,4_Thursday,8
429,100 Wardour Street,Club Bar,Bar,Dinner,2020-02-14,Friday,5_Friday,8
430,100 Wardour Street,Club Bar,Bar,Dinner,2020-02-15,Saturday,6_Saturday,1
431,100 Wardour Street,Club Bar,Bar,Dinner,2020-02-21,Friday,5_Friday,7
432,100 Wardour Street,Club Bar,Bar,Dinner,2020-02-22,Saturday,6_Saturday,1
433,100 Wardour Street,Club Bar,Bar,Dinner,2020-02-28,Friday,5_Friday,5
434,100 Wardour Street,Club Bar,Bar,Dinner,2020-02-29,Saturday,6_Saturday,2
435,100 Wardour Street,Club Bar,Bar,Dinner,2020-03-05,Thursday,4_Thursday,6
438,100 Wardour Street,Club Bar,Bar,Lunch,2020-01-26,Sunday,7_Sunday,1
439,100 Wardour Street,Club Bar,Bar,Lunch,2020-02-01,Saturday,6_Saturday,2
440,100 Wardour Street,Club Bar,Bar,Lunch,2020-02-02,Sunday,7_Sunday,1
441,100 Wardour Street,Club Bar,Bar,Lunch,2020-02-08,Saturday,6_Saturday,2
