,Restaurant,As Of Day,Days Before Week Commencing,Reservation Week,Covers,Table,Week,Color,Alpha
0,Group,Monday,14,52,6776.0,This Week Pickup,2 Weeks Time,Black,1.0
1,Group,Monday,14,51,10235.0,This Week Pickup,Next Week,Purple,1.0
2,Group,Monday,14,50,7950.0,This Week Pickup,This Week,Red,1.0
3,Group,Monday,14,49,5526.0,This Week Pickup,Last Week,Orange,1.0
4,Group,Monday,14,48,479.0,This Week Pickup,2 Weeks Ago,Blue,0.8
5,Group,Monday,14,47,2632.0,This Week Pickup,3 Weeks Ago,Blue,0.6
6,Group,Monday,14,45,4175.0,This Week Pickup,5 Weeks Ago,Blue,0.2
8,Group,Tuesday,13,50,8807.0,This Week Pickup,This Week,Red,1.0
9,Group,Tuesday,13,51,10877.0,This Week Pickup,Next Week,Purple,1.0
11,Group,Tuesday,13,47,1979.0,This Week Pickup,3 Weeks Ago,Blue,0.6
12,Group,Tuesday,13,48,208.0,This Week Pickup,2 Weeks Ago,Blue,0.8
13,Group,Tuesday,13,49,5803.0,This Week Pickup,Last Week,Orange,1.0
14,Group,Wednesday,12,51,11692.0,This Week Pickup,Next Week,Purple,1.0
15,Group,Wednesday,12,50,9554.0,This Week Pickup,This Week,Red,1.0
16,Group,Wednesday,12,47,1556.0,This Week Pickup,3 Weeks Ago,Blue,0.6
18,Group,Wednesday,12,48,206.0,This Week Pickup,2 Weeks Ago,Blue,0.8
19,Group,Wednesday,12,49,6009.0,This Week Pickup,Last Week,Orange,1.0
20,Group,Thursday,11,47,1238.0,This Week Pickup,3 Weeks Ago,Blue,0.6
21,Group,Thursday,11,51,12896.0,This Week Pickup,Next Week,Purple,1.0
22,Group,Thursday,11,50,10296.0,This Week Pickup,This Week,Red,1.0
23,Group,Thursday,11,49,6250.0,This Week Pickup,Last Week,Orange,1.0
25,Group,Thursday,11,48,161.0,This Week Pickup,2 Weeks Ago,Blue,0.8
26,Group,Friday,10,51,13885.0,This Week Pickup,Next Week,Purple,1.0
27,Group,Friday,10,49,6462.0,This Week Pickup,Last Week,Orange,1.0
28,Group,Friday,10,48,161.0,This Week Pickup,2 Weeks Ago,Blue,0.8
29,Group,Friday,10,47,1189.0,This Week Pickup,3 Weeks Ago,Blue,0.6
32,Group,Saturday,9,51,14712.0,This Week Pickup,Next Week,Purple,1.0
