,Restaurant,Week,Day,This Week,Last Week,Last Year,vs. LW,vs. LW %,vs. LY,vs. LY %
23,100 Wardour St,This Week,Monday,0.0,0.0,6.0,0.0,1.0,-6.0,-1.0
27,100 Wardour St,This Week,Tuesday,-2.0,0.0,-8.0,-2.0,-2.0,6.0,-0.75
28,100 Wardour St,This Week,Wednesday,1.0,2.0,3.0,-1.0,-0.5,-2.0,-0.6666666666666666
26,100 Wardour St,This Week,Thursday,8.0,6.0,3.0,2.0,0.3333333333333333,5.0,1.6666666666666667
22,100 Wardour St,This Week,Friday,11.0,5.0,4.0,6.0,1.2,7.0,1.75
24,100 Wardour St,This Week,Saturday,16.0,-2.0,0.0,18.0,-9.0,16.0,16.0
25,100 Wardour St,This Week,Sunday,14.0,0.0,19.0,14.0,14.0,-5.0,-0.2631578947368421
6,100 Wardour St,This Week,Full Week,48.0,11.0,27.0,37.0,3.3636363636363638,21.0,0.7777777777777778
11,100 Wardour St,Next Week,Monday,2.0,0.0,0.0,2.0,2.0,2.0,2.0
15,100 Wardour St,Next Week,Tuesday,0.0,0.0,4.0,0.0,1.0,-4.0,-1.0
16,100 Wardour St,Next Week,Wednesday,6.0,0.0,7.0,6.0,6.0,-1.0,-0.14285714285714285
14,100 Wardour St,Next Week,Thursday,4.0,2.0,10.0,2.0,1.0,-6.0,-0.6
10,100 Wardour St,Next Week,Friday,10.0,8.0,0.0,2.0,0.25,10.0,10.0
12,100 Wardour St,Next Week,Saturday,20.0,11.0,0.0,9.0,0.8181818181818182,20.0,20.0
13,100 Wardour St,Next Week,Sunday,10.0,5.0,3.0,5.0,1.0,7.0,2.3333333333333335
3,100 Wardour St,Next Week,Full Week,52.0,26.0,24.0,26.0,1.0,28.0,1.1666666666666667
37,100 Wardour St,Two Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
41,100 Wardour St,Two Weeks,Tuesday,2.0,0.0,4.0,2.0,2.0,-2.0,-0.5
42,100 Wardour St,Two Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
40,100 Wardour St,Two Weeks,Thursday,2.0,6.0,0.0,-4.0,-0.6666666666666666,2.0,2.0
36,100 Wardour St,Two Weeks,Friday,0.0,12.0,0.0,-12.0,-1.0,0.0,1.0
38,100 Wardour St,Two Weeks,Saturday,0.0,12.0,-2.0,-12.0,-1.0,2.0,-1.0
39,100 Wardour St,Two Weeks,Sunday,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
8,100 Wardour St,Two Weeks,Full Week,4.0,32.0,2.0,-28.0,-0.875,2.0,1.0
30,100 Wardour St,Three Weeks,Monday,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
34,100 Wardour St,Three Weeks,Tuesday,2.0,0.0,13.0,2.0,2.0,-11.0,-0.8461538461538461
35,100 Wardour St,Three Weeks,Wednesday,4.0,0.0,0.0,4.0,4.0,4.0,4.0
33,100 Wardour St,Three Weeks,Thursday,-4.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0
29,100 Wardour St,Three Weeks,Friday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
31,100 Wardour St,Three Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
32,100 Wardour St,Three Weeks,Sunday,0.0,8.0,0.0,-8.0,-1.0,0.0,1.0
7,100 Wardour St,Three Weeks,Full Week,2.0,10.0,15.0,-8.0,-0.8,-13.0,-0.8666666666666667
1169,100 Wardour St,Four Weeks,Monday,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0
1171,100 Wardour St,Four Weeks,Tuesday,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
1172,100 Wardour St,Four Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1170,100 Wardour St,Four Weeks,Thursday,0.0,-3.0,0.0,3.0,-1.0,0.0,1.0
1168,100 Wardour St,Four Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,100 Wardour St,Four Weeks,Saturday,0.0,0.0,5.0,0.0,1.0,-5.0,-1.0
