,SiteName,LocationName,GenericLocation,Session,Date,Day,OrdDay,Covers
0,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-01,Friday,5_Friday,0.0
1,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-02,Saturday,6_Saturday,0.0
2,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-03,Sunday,7_Sunday,0.0
3,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-04,Monday,1_Monday,0.0
4,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-05,Tuesday,2_Tuesday,0.0
5,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-06,Wednesday,3_Wednesday,0.0
6,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-07,Thursday,4_Thursday,0.0
7,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-08,Friday,5_Friday,0.0
8,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-09,Saturday,6_Saturday,0.0
9,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-10,Sunday,7_Sunday,0.0
10,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-11,Monday,1_Monday,0.0
11,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-12,Tuesday,2_Tuesday,0.0
12,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-13,Wednesday,3_Wednesday,0.0
13,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-14,Thursday,4_Thursday,0.0
14,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-15,Friday,5_Friday,0.0
15,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-16,Saturday,6_Saturday,0.0
16,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-17,Sunday,7_Sunday,0.0
17,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-18,Monday,1_Monday,0.0
18,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-19,Tuesday,2_Tuesday,0.0
19,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-20,Wednesday,3_Wednesday,0.0
20,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-21,Thursday,4_Thursday,0.0
21,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-22,Friday,5_Friday,0.0
22,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-23,Saturday,6_Saturday,0.0
23,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-24,Sunday,7_Sunday,0.0
24,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-25,Monday,1_Monday,0.0
25,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-26,Tuesday,2_Tuesday,0.0
26,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-27,Wednesday,3_Wednesday,0.0
27,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-28,Thursday,4_Thursday,0.0
28,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-29,Friday,5_Friday,0.0
29,100 Wardour Street,Club,Restaurant,Breakfast,2019-11-30,Saturday,6_Saturday,0.0
30,100 Wardour Street,Club,Restaurant,Breakfast,2019-12-01,Sunday,7_Sunday,0.0
31,100 Wardour Street,Club,Restaurant,Breakfast,2019-12-02,Monday,1_Monday,0.0
32,100 Wardour Street,Club,Restaurant,Breakfast,2019-12-03,Tuesday,2_Tuesday,0.0
33,100 Wardour Street,Club,Restaurant,Breakfast,2019-12-04,Wednesday,3_Wednesday,0.0
34,100 Wardour Street,Club,Restaurant,Breakfast,2019-12-05,Thursday,4_Thursday,0.0
35,100 Wardour Street,Club,Restaurant,Breakfast,2019-12-06,Friday,5_Friday,0.0
36,100 Wardour Street,Club,Restaurant,Breakfast,2019-12-07,Saturday,6_Saturday,0.0
37,100 Wardour Street,Club,Restaurant,Breakfast,2019-12-08,Sunday,7_Sunday,0.0
38,100 Wardour Street,Club,Restaurant,Breakfast,2019-12-09,Monday,1_Monday,0.0
39,100 Wardour Street,Club,Restaurant,Breakfast,2019-12-10,Tuesday,2_Tuesday,0.0
40,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-01,Thursday,4_Thursday,0.0
41,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-02,Friday,5_Friday,0.0
42,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-03,Saturday,6_Saturday,0.0
43,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-04,Sunday,7_Sunday,0.0
44,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-05,Monday,1_Monday,0.0
45,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-06,Tuesday,2_Tuesday,0.0
46,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-07,Wednesday,3_Wednesday,0.0
47,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-08,Thursday,4_Thursday,0.0
48,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-09,Friday,5_Friday,0.0
49,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-10,Saturday,6_Saturday,0.0
50,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-11,Sunday,7_Sunday,0.0
51,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-12,Monday,1_Monday,0.0
52,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-13,Tuesday,2_Tuesday,0.0
53,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-14,Wednesday,3_Wednesday,0.0
54,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-15,Thursday,4_Thursday,0.0
55,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-16,Friday,5_Friday,0.0
56,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-17,Saturday,6_Saturday,0.0
57,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-18,Sunday,7_Sunday,0.0
58,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-19,Monday,1_Monday,0.0
59,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-20,Tuesday,2_Tuesday,0.0
60,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-21,Wednesday,3_Wednesday,0.0
61,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-22,Thursday,4_Thursday,0.0
62,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-23,Friday,5_Friday,0.0
63,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-24,Saturday,6_Saturday,0.0
64,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-25,Sunday,7_Sunday,0.0
65,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-26,Monday,1_Monday,0.0
66,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-27,Tuesday,2_Tuesday,0.0
67,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-28,Wednesday,3_Wednesday,0.0
68,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-29,Thursday,4_Thursday,0.0
69,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-30,Friday,5_Friday,0.0
70,100 Wardour Street,Club,Restaurant,Breakfast,2020-10-31,Saturday,6_Saturday,0.0
71,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-01,Sunday,7_Sunday,0.0
72,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-02,Monday,1_Monday,0.0
73,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-03,Tuesday,2_Tuesday,0.0
74,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-04,Wednesday,3_Wednesday,0.0
75,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-05,Thursday,4_Thursday,0.0
76,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-06,Friday,5_Friday,0.0
77,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-09,Monday,1_Monday,0.0
78,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-10,Tuesday,2_Tuesday,0.0
79,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-11,Wednesday,3_Wednesday,0.0
80,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-12,Thursday,4_Thursday,0.0
81,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-13,Friday,5_Friday,0.0
82,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-14,Saturday,6_Saturday,0.0
83,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-15,Sunday,7_Sunday,0.0
84,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-16,Monday,1_Monday,0.0
85,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-17,Tuesday,2_Tuesday,0.0
86,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-18,Wednesday,3_Wednesday,0.0
87,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-19,Thursday,4_Thursday,0.0
88,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-20,Friday,5_Friday,0.0
89,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-21,Saturday,6_Saturday,0.0
90,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-22,Sunday,7_Sunday,0.0
91,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-23,Monday,1_Monday,0.0
92,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-24,Tuesday,2_Tuesday,0.0
93,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-25,Wednesday,3_Wednesday,0.0
94,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-26,Thursday,4_Thursday,0.0
95,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-27,Friday,5_Friday,0.0
96,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-28,Saturday,6_Saturday,0.0
97,100 Wardour Street,Club,Restaurant,Breakfast,2020-11-30,Monday,1_Monday,0.0
98,100 Wardour Street,Club,Restaurant,Breakfast,2020-12-01,Tuesday,2_Tuesday,0.0
99,100 Wardour Street,Club,Restaurant,Breakfast,2020-12-02,Wednesday,3_Wednesday,0.0
100,100 Wardour Street,Club,Restaurant,Breakfast,2020-12-03,Thursday,4_Thursday,0.0
101,100 Wardour Street,Club,Restaurant,Breakfast,2020-12-04,Friday,5_Friday,0.0
102,100 Wardour Street,Club,Restaurant,Breakfast,2020-12-05,Saturday,6_Saturday,0.0
103,100 Wardour Street,Club,Restaurant,Breakfast,2020-12-06,Sunday,7_Sunday,0.0
104,100 Wardour Street,Club,Restaurant,Breakfast,2020-12-07,Monday,1_Monday,0.0
105,100 Wardour Street,Club,Restaurant,Breakfast,2020-12-08,Tuesday,2_Tuesday,0.0
106,100 Wardour Street,Club,Restaurant,Dinner,2019-11-01,Friday,5_Friday,291.0
107,100 Wardour Street,Club,Restaurant,Dinner,2019-11-02,Saturday,6_Saturday,305.0
