,SiteName,LocationName,GenericLocation,Session,OrdSession,RevenueType,Wine,Date,Day,OrdDay,Revenue
154,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-01,Friday,5_Friday,4073.41
155,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-02,Saturday,6_Saturday,6306.570000000001
156,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-05,Tuesday,2_Tuesday,623.8599999999999
157,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-06,Wednesday,3_Wednesday,376.4
158,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-07,Thursday,4_Thursday,3334.6800000000003
159,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-08,Friday,5_Friday,3457.9500000000003
160,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-09,Saturday,6_Saturday,7109.4400000000005
161,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-12,Tuesday,2_Tuesday,315.5
162,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-13,Wednesday,3_Wednesday,454.58000000000004
163,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-15,Friday,5_Friday,2981.2200000000003
164,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-16,Saturday,6_Saturday,4106.5199999999995
165,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-19,Tuesday,2_Tuesday,580.2099999999999
166,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-20,Wednesday,3_Wednesday,776.05
167,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-21,Thursday,4_Thursday,5449.59
168,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-22,Friday,5_Friday,4192.97
169,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-23,Saturday,6_Saturday,8287.08
170,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-26,Tuesday,2_Tuesday,451.9
171,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-27,Wednesday,3_Wednesday,2219.07
172,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-28,Thursday,4_Thursday,8106.9
173,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-29,Friday,5_Friday,5182.77
174,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-11-30,Saturday,6_Saturday,7640.94
175,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-12-02,Monday,1_Monday,425.42
176,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-12-04,Wednesday,3_Wednesday,4751.0599999999995
177,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-12-05,Thursday,4_Thursday,8242.949999999999
178,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-12-06,Friday,5_Friday,10469.810000000001
179,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-12-07,Saturday,6_Saturday,10239.15
180,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2019-12-09,Monday,1_Monday,1273.29
259,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-01,Thursday,4_Thursday,501.91999999999996
260,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-02,Friday,5_Friday,1896.81
261,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-03,Saturday,6_Saturday,2923.93
262,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-04,Sunday,7_Sunday,20702.270000000004
263,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-08,Thursday,4_Thursday,591.87
264,100 Wardour Street,Club,Restaurant,Dinner,3,Beverage,Non-Wine,2020-10-09,Friday,5_Friday,2709.38
