,Restaurant,As Of Day,Days Before Week Commencing,Reservation Week,Covers,Table,Week,Color,Alpha
0,Group,Monday,14,52,5821.0,This Week Pickup,2 Weeks Time,Black,1.0
1,Group,Monday,14,51,9914.0,This Week Pickup,Next Week,Purple,1.0
2,Group,Monday,14,50,7692.0,This Week Pickup,This Week,Red,1.0
3,Group,Monday,14,49,5518.0,This Week Pickup,Last Week,Orange,1.0
4,Group,Monday,14,48,471.0,This Week Pickup,2 Weeks Ago,Blue,0.8
5,Group,Monday,14,47,2542.0,This Week Pickup,3 Weeks Ago,Blue,0.6
6,Group,Monday,14,45,4015.0,This Week Pickup,5 Weeks Ago,Blue,0.2
8,Group,Tuesday,13,50,8499.0,This Week Pickup,This Week,Red,1.0
9,Group,Tuesday,13,52,6113.0,This Week Pickup,2 Weeks Time,Black,1.0
11,Group,Tuesday,13,47,1916.0,This Week Pickup,3 Weeks Ago,Blue,0.6
12,Group,Tuesday,13,48,202.0,This Week Pickup,2 Weeks Ago,Blue,0.8
13,Group,Tuesday,13,49,5795.0,This Week Pickup,Last Week,Orange,1.0
14,Group,Tuesday,13,51,10533.0,This Week Pickup,Next Week,Purple,1.0
15,Group,Wednesday,12,51,11280.0,This Week Pickup,Next Week,Purple,1.0
16,Group,Wednesday,12,50,9236.0,This Week Pickup,This Week,Red,1.0
17,Group,Wednesday,12,47,1513.0,This Week Pickup,3 Weeks Ago,Blue,0.6
19,Group,Wednesday,12,48,200.0,This Week Pickup,2 Weeks Ago,Blue,0.8
20,Group,Wednesday,12,49,6001.0,This Week Pickup,Last Week,Orange,1.0
21,Group,Thursday,11,49,6242.0,This Week Pickup,Last Week,Orange,1.0
22,Group,Thursday,11,51,12440.0,This Week Pickup,Next Week,Purple,1.0
24,Group,Thursday,11,47,1202.0,This Week Pickup,3 Weeks Ago,Blue,0.6
25,Group,Thursday,11,48,161.0,This Week Pickup,2 Weeks Ago,Blue,0.8
26,Group,Thursday,11,50,9938.0,This Week Pickup,This Week,Red,1.0
27,Group,Friday,10,51,13307.0,This Week Pickup,Next Week,Purple,1.0
28,Group,Friday,10,49,6454.0,This Week Pickup,Last Week,Orange,1.0
29,Group,Friday,10,48,161.0,This Week Pickup,2 Weeks Ago,Blue,0.8
30,Group,Friday,10,47,1155.0,This Week Pickup,3 Weeks Ago,Blue,0.6
33,Group,Saturday,9,51,14054.0,This Week Pickup,Next Week,Purple,1.0
34,Group,Saturday,9,50,10847.0,This Week Pickup,This Week,Red,1.0
35,Group,Saturday,9,48,161.0,This Week Pickup,2 Weeks Ago,Blue,0.8
36,Group,Saturday,9,47,845.0,This Week Pickup,3 Weeks Ago,Blue,0.6
38,Group,Saturday,9,49,6703.0,This Week Pickup,Last Week,Orange,1.0
41,Group,Sunday,8,50,11357.0,This Week Pickup,This Week,Red,1.0
42,Group,Sunday,8,49,6919.0,This Week Pickup,Last Week,Orange,1.0
43,Group,Sunday,8,48,161.0,This Week Pickup,2 Weeks Ago,Blue,0.8
44,Group,Sunday,8,47,842.0,This Week Pickup,3 Weeks Ago,Blue,0.6
45,Group,Sunday,8,46,4983.0,This Week Pickup,4 Weeks Ago,Blue,0.4
46,Group,Sunday,8,51,14624.0,This Week Pickup,Next Week,Purple,1.0
47,Group,Monday,7,46,3778.0,This Week Pickup,4 Weeks Ago,Blue,0.4
48,Group,Monday,7,47,838.0,This Week Pickup,3 Weeks Ago,Blue,0.6
49,Group,Monday,7,51,15239.0,This Week Pickup,Next Week,Purple,1.0
50,Group,Monday,7,50,11945.0,This Week Pickup,This Week,Red,1.0
51,Group,Monday,7,49,7275.0,This Week Pickup,Last Week,Orange,1.0
52,Group,Monday,7,48,161.0,This Week Pickup,2 Weeks Ago,Blue,0.8
56,Group,Tuesday,6,51,16364.0,This Week Pickup,Next Week,Purple,1.0
57,Group,Tuesday,6,46,2408.0,This Week Pickup,4 Weeks Ago,Blue,0.4
58,Group,Tuesday,6,47,302.0,This Week Pickup,3 Weeks Ago,Blue,0.6
59,Group,Tuesday,6,49,8086.0,This Week Pickup,Last Week,Orange,1.0
60,Group,Tuesday,6,50,12850.0,This Week Pickup,This Week,Red,1.0
61,Group,Tuesday,6,48,161.0,This Week Pickup,2 Weeks Ago,Blue,0.8
