,Restaurant,Week,Day,This Week,Last Week,Last Year,vs. LW,vs. LW %,vs. LY,vs. LY %
26,100 Wardour St,This Week,Tuesday,0.0,0.0,11.0,0.0,1.0,-11.0,-1.0
27,100 Wardour St,This Week,Wednesday,5.0,-14.0,3.0,19.0,-1.3571428571428572,2.0,0.6666666666666666
25,100 Wardour St,This Week,Thursday,7.0,15.0,5.0,-8.0,-0.5333333333333333,2.0,0.4
22,100 Wardour St,This Week,Friday,8.0,34.0,9.0,-26.0,-0.7647058823529411,-1.0,-0.1111111111111111
23,100 Wardour St,This Week,Saturday,22.0,9.0,-9.0,13.0,1.4444444444444444,31.0,-3.4444444444444446
24,100 Wardour St,This Week,Sunday,6.0,4.0,22.0,2.0,0.5,-16.0,-0.7272727272727273
6,100 Wardour St,This Week,Full Week,48.0,48.0,41.0,0.0,0.020833333333333332,7.0,0.17073170731707318
11,100 Wardour St,Next Week,Monday,3.0,0.0,6.0,3.0,3.0,-3.0,-0.5
15,100 Wardour St,Next Week,Tuesday,5.0,0.0,2.0,5.0,5.0,3.0,1.5
16,100 Wardour St,Next Week,Wednesday,0.0,4.0,5.0,-4.0,-1.0,-5.0,-1.0
14,100 Wardour St,Next Week,Thursday,8.0,-1.0,26.0,9.0,-9.0,-18.0,-0.6923076923076923
10,100 Wardour St,Next Week,Friday,2.0,9.0,5.0,-7.0,-0.7777777777777778,-3.0,-0.6
12,100 Wardour St,Next Week,Saturday,26.0,8.0,14.0,18.0,2.25,12.0,0.8571428571428571
13,100 Wardour St,Next Week,Sunday,16.0,-2.0,20.0,18.0,-9.0,-4.0,-0.2
3,100 Wardour St,Next Week,Full Week,60.0,18.0,78.0,42.0,2.3333333333333335,-18.0,-0.23076923076923078
36,100 Wardour St,Two Weeks,Monday,6.0,0.0,0.0,6.0,6.0,6.0,6.0
40,100 Wardour St,Two Weeks,Tuesday,6.0,2.0,1.0,4.0,2.0,5.0,5.0
41,100 Wardour St,Two Weeks,Wednesday,5.0,2.0,0.0,3.0,1.5,5.0,5.0
39,100 Wardour St,Two Weeks,Thursday,9.0,15.0,0.0,-6.0,-0.4,9.0,9.0
35,100 Wardour St,Two Weeks,Friday,0.0,11.0,10.0,-11.0,-1.0,-10.0,-1.0
37,100 Wardour St,Two Weeks,Saturday,0.0,19.0,19.0,-19.0,-1.0,-19.0,-1.0
38,100 Wardour St,Two Weeks,Sunday,2.0,0.0,2.0,2.0,2.0,0.0,0.5
8,100 Wardour St,Two Weeks,Full Week,28.0,49.0,32.0,-21.0,-0.42857142857142855,-4.0,-0.125
29,100 Wardour St,Three Weeks,Monday,0.0,0.0,-8.0,0.0,1.0,8.0,-1.0
33,100 Wardour St,Three Weeks,Tuesday,0.0,2.0,13.0,-2.0,-1.0,-13.0,-1.0
34,100 Wardour St,Three Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
32,100 Wardour St,Three Weeks,Thursday,3.0,0.0,0.0,3.0,3.0,3.0,3.0
28,100 Wardour St,Three Weeks,Friday,0.0,4.0,0.0,-4.0,-1.0,0.0,1.0
30,100 Wardour St,Three Weeks,Saturday,8.0,12.0,6.0,-4.0,-0.3333333333333333,2.0,0.3333333333333333
31,100 Wardour St,Three Weeks,Sunday,0.0,6.0,0.0,-6.0,-1.0,0.0,1.0
7,100 Wardour St,Three Weeks,Full Week,11.0,24.0,11.0,-13.0,-0.5416666666666666,0.0,0.09090909090909091
1176,100 Wardour St,Four Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1178,100 Wardour St,Four Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1179,100 Wardour St,Four Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1177,100 Wardour St,Four Weeks,Thursday,0.0,9.0,0.0,-9.0,-1.0,0.0,1.0
1175,100 Wardour St,Four Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,100 Wardour St,Four Weeks,Saturday,0.0,0.0,3.0,0.0,1.0,-3.0,-1.0
9,100 Wardour St,Four Weeks,Sunday,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
2,100 Wardour St,Four Weeks,Full Week,0.0,11.0,3.0,-11.0,-1.0,-3.0,-1.0
1478,100 Wardour St,Five Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1479,100 Wardour St,Five Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7,100 Wardour St,Five Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1477,100 Wardour St,Five Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6,100 Wardour St,Five Weeks,Saturday,0.0,0.0,43.0,0.0,1.0,-43.0,-1.0
1174,100 Wardour St,Five Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,100 Wardour St,Five Weeks,Full Week,0.0,0.0,43.0,0.0,1.0,-43.0,-1.0
21,100 Wardour St,Six Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1480,100 Wardour St,Six Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1180,100 Wardour St,Six Weeks,Saturday,0.0,0.0,10.0,0.0,1.0,-10.0,-1.0
1481,100 Wardour St,Six Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,100 Wardour St,Six Weeks,Full Week,0.0,0.0,10.0,0.0,1.0,-10.0,-1.0
20,100 Wardour St,Seven Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
17,100 Wardour St,Seven Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18,100 Wardour St,Seven Weeks,Saturday,0.0,0.0,21.0,0.0,1.0,-21.0,-1.0
19,100 Wardour St,Seven Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4,100 Wardour St,Seven Weeks,Full Week,0.0,0.0,21.0,0.0,1.0,-21.0,-1.0
1474,100 Wardour St,Eight Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1476,100 Wardour St,Eight Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1173,100 Wardour St,Eight Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1172,100 Wardour St,Eight Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,100 Wardour St,Eight Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
