,visit_day,restaurant,shift_category,max_guests
0,2020-12-02,Bluebird Chelsea Café,LUNCH,3.0
1,2020-12-02,Grand Café & Restaurant,DINNER,3.0
2,2020-12-02,Issho Restaurant,DINNER,2.0
3,2020-12-02,Issho Restaurant,LUNCH,2.0
4,2020-12-02,Skylon Restaurant,LUNCH,2.0
5,2020-12-02,South Place Chop House,LUNCH,2.0
6,2020-12-03,Cantina del Ponte,DINNER,5.0
7,2020-12-03,Old Bengal Bar,LUNCH,14.0
8,2020-12-04,Bluebird Chelsea PDR,LUNCH,12.0
9,2020-12-04,Cantina del Ponte,DINNER,30.0
10,2020-12-04,Radici,LUNCH,2.0
11,2020-12-04,South Place Chop House,DINNER,2.0
12,2020-12-04,South Place Chop House,LUNCH,2.0
13,2020-12-05,14 Hills,DINNER,2.0
14,2020-12-05,Bluebird Chelsea PDR,LUNCH,15.0
15,2020-12-05,Blueprint Café,DINNER,100.0
16,2020-12-05,Cantina del Ponte,DINNER,2.0
17,2020-12-05,Klosterhaus,DINNER,5.0
18,2020-12-05,Klosterhaus,LUNCH,7.0
19,2020-12-05,Old Bengal Bar,LUNCH,6.0
20,2020-12-05,Radici,LUNCH,11.0
21,2020-12-05,South Place Chop House,DINNER,14.0
22,2020-12-05,South Place Chop House,LUNCH,2.0
23,2020-12-06,Quaglino’s Restaurant,LUNCH,4.0
24,2020-12-07,Angelica,LUNCH,2.0
25,2020-12-07,Plateau Restaurant,DINNER,2.0
26,2020-12-07,Sartoria,DINNER,4.0
27,2020-12-07,South Place Chop House,DINNER,3.0
28,2020-12-08,100 Wardour St. Restaurant & Club,DINNER,2.0
29,2020-12-08,100 Wardour St. Restaurant & Club,LUNCH,4.0
30,2020-12-08,14 Hills,DINNER,52.0
31,2020-12-08,14 Hills,LUNCH,53.0
32,2020-12-08,Angler Restaurant,DINNER,12.0
33,2020-12-08,Aster Cafe,DINNER,14.0
34,2020-12-08,Aster Cafe,LUNCH,6.0
35,2020-12-08,Aster Restaurant,DINNER,14.0
36,2020-12-08,Aster Restaurant,LUNCH,11.0
37,2020-12-08,Avenue,DINNER,4.0
38,2020-12-08,Avenue,LUNCH,10.0
39,2020-12-08,Bluebird Chelsea Café,DINNER,15.0
40,2020-12-08,Bluebird Chelsea Café,LUNCH,10.0
41,2020-12-08,Bluebird Chelsea Restaurant,DINNER,74.0
42,2020-12-08,Bluebird Chelsea Restaurant,LUNCH,34.0
43,2020-12-08,Bluebird White City,DINNER,22.0
44,2020-12-08,Butlers Wharf Chophouse Restaurant,DINNER,34.0
45,2020-12-08,Butlers Wharf Chophouse Restaurant,LUNCH,12.0
46,2020-12-08,Cantina del Ponte,DINNER,42.0
47,2020-12-08,Cantina del Ponte,LUNCH,8.0
48,2020-12-08,Coq d'Argent Grill,DINNER,69.0
49,2020-12-08,Coq d'Argent Grill,LUNCH,51.0
50,2020-12-08,Coq d'Argent Restaurant,DINNER,58.0
51,2020-12-08,Coq d'Argent Restaurant,LUNCH,53.0
52,2020-12-08,Fish Market,DINNER,8.0
53,2020-12-08,Fish Market,LUNCH,2.0
54,2020-12-08,Fiume,DINNER,40.0
55,2020-12-08,Grand Café & Restaurant,DINNER,191.0
56,2020-12-08,Grand Café & Restaurant,LUNCH,131.0
57,2020-12-08,Madison Restaurant,DINNER,124.0
58,2020-12-08,New Street Grill,DINNER,12.0
59,2020-12-08,New Street Grill,LUNCH,2.0
60,2020-12-08,Orrery,DINNER,24.0
61,2020-12-08,Orrery,LUNCH,57.0
62,2020-12-08,Paternoster Chophouse,DINNER,38.0
63,2020-12-08,Paternoster Chophouse,LUNCH,15.0
64,2020-12-08,Plateau Restaurant,DINNER,13.0
65,2020-12-08,Plateau Restaurant,LUNCH,12.0
66,2020-12-08,Plateau Terrace,DINNER,8.0
67,2020-12-08,Pont de la Tour Bar & Grill,DINNER,10.0
68,2020-12-08,Pont de la Tour Restaurant,DINNER,66.0
69,2020-12-08,Pont de la Tour Restaurant,LUNCH,45.0
70,2020-12-08,Quaglino's Bar,DINNER,2.0
71,2020-12-08,Quaglino’s Restaurant,DINNER,85.0
72,2020-12-08,Radici,DINNER,41.0
73,2020-12-08,Radici,LUNCH,2.0
74,2020-12-08,Sartoria,DINNER,11.0
75,2020-12-08,Sartoria,LUNCH,22.0
76,2020-12-08,South Place Chop House,DINNER,7.0
77,2020-12-08,South Place Chop House,LUNCH,18.0
78,2020-12-08,The Modern Pantry,LUNCH,7.0
79,2020-12-08,The Secret Garden,DINNER,10.0
80,2020-12-09,100 Wardour Lounge Bar,LUNCH,6.0
81,2020-12-09,100 Wardour St. Restaurant & Club,DINNER,14.0
82,2020-12-09,100 Wardour St. Restaurant & Club,LUNCH,8.0
83,2020-12-09,100 Wardour Street Bar & Lounge,DINNER,28.0
84,2020-12-09,100 Wardour Street Bar & Lounge,LUNCH,10.0
85,2020-12-09,14 Hills,DINNER,113.0
86,2020-12-09,14 Hills,LUNCH,53.0
87,2020-12-09,Angler Restaurant,DINNER,22.0
88,2020-12-09,Aster Cafe,DINNER,13.0
89,2020-12-09,Aster Cafe,LUNCH,4.0
90,2020-12-09,Aster Restaurant,DINNER,11.0
91,2020-12-09,Aster Restaurant,LUNCH,2.0
92,2020-12-09,Avenue,LUNCH,10.0
93,2020-12-09,Bluebird Chelsea Café,DINNER,19.0
94,2020-12-09,Bluebird Chelsea Café,LUNCH,14.0
95,2020-12-09,Bluebird Chelsea Restaurant,DINNER,67.0
96,2020-12-09,Bluebird Chelsea Restaurant,LUNCH,55.0
97,2020-12-09,Bluebird White City,DINNER,7.0
98,2020-12-09,Bluebird White City,LUNCH,10.0
99,2020-12-09,Butlers Wharf Chophouse Restaurant,DINNER,56.0
100,2020-12-09,Butlers Wharf Chophouse Restaurant,LUNCH,46.0
101,2020-12-09,Cantina del Ponte,DINNER,30.0
102,2020-12-09,Cantina del Ponte,LUNCH,25.0
103,2020-12-09,Coq d'Argent Grill,DINNER,86.0
104,2020-12-09,Coq d'Argent Grill,LUNCH,58.0
105,2020-12-09,Coq d'Argent Restaurant,DINNER,58.0
106,2020-12-09,Coq d'Argent Restaurant,LUNCH,64.0
107,2020-12-09,Fish Market,DINNER,14.0
108,2020-12-09,Fish Market,LUNCH,10.0
109,2020-12-09,Fiume,DINNER,35.0
110,2020-12-09,Fiume,LUNCH,4.0
111,2020-12-09,Grand Café & Restaurant,DINNER,250.0
112,2020-12-09,Grand Café & Restaurant,LUNCH,256.0
113,2020-12-09,Launceston Place,DINNER,22.0
114,2020-12-09,Launceston Place,LUNCH,9.0
115,2020-12-09,Madison Restaurant,DINNER,144.0
116,2020-12-09,New Street Grill,DINNER,25.0
117,2020-12-09,New Street Grill,LUNCH,12.0
118,2020-12-09,Old Bengal Bar,LUNCH,6.0
119,2020-12-09,Orrery,DINNER,63.0
120,2020-12-09,Orrery,LUNCH,56.0
121,2020-12-09,Paternoster Chophouse,DINNER,31.0
122,2020-12-09,Paternoster Chophouse,LUNCH,29.0
123,2020-12-09,Plateau Restaurant,DINNER,15.0
124,2020-12-09,Plateau Restaurant,LUNCH,6.0
125,2020-12-09,Pont de la Tour Bar & Grill,DINNER,17.0
126,2020-12-09,Pont de la Tour Bar & Grill,LUNCH,4.0
127,2020-12-09,Pont de la Tour Restaurant,DINNER,96.0
128,2020-12-09,Pont de la Tour Restaurant,LUNCH,50.0
129,2020-12-09,Quaglino's Bar,DINNER,4.0
130,2020-12-09,Quaglino's Bar,LUNCH,4.0
131,2020-12-09,Quaglino's PDR,LUNCH,13.0
132,2020-12-09,Quaglino’s Restaurant,DINNER,74.0
133,2020-12-09,Quaglino’s Restaurant,LUNCH,27.0
134,2020-12-09,Radici,DINNER,28.0
135,2020-12-09,Radici,LUNCH,2.0
136,2020-12-09,Sartoria,DINNER,32.0
137,2020-12-09,Sartoria,LUNCH,32.0
138,2020-12-09,South Place Chop House,DINNER,8.0
139,2020-12-09,South Place Chop House,LUNCH,13.0
140,2020-12-09,The Modern Pantry,DINNER,5.0
141,2020-12-09,The Modern Pantry,LUNCH,11.0
142,2020-12-09,The Secret Garden,DINNER,9.0
143,2020-12-10,100 Wardour Lounge Bar,LUNCH,5.0
144,2020-12-10,100 Wardour St. Restaurant & Club,DINNER,71.0
145,2020-12-10,100 Wardour St. Restaurant & Club,LUNCH,35.0
146,2020-12-10,100 Wardour Street Bar & Lounge,DINNER,29.0
147,2020-12-10,100 Wardour Street Bar & Lounge,LUNCH,6.0
148,2020-12-10,14 Hills,DINNER,124.0
149,2020-12-10,14 Hills,LUNCH,106.0
150,2020-12-10,Angler Restaurant,DINNER,32.0
151,2020-12-10,Angler Restaurant,LUNCH,34.0
152,2020-12-10,Aster Cafe,DINNER,14.0
153,2020-12-10,Aster Cafe,LUNCH,11.0
154,2020-12-10,Aster Restaurant,DINNER,13.0
155,2020-12-10,Aster Restaurant,LUNCH,10.0
156,2020-12-10,Avenue,DINNER,5.0
157,2020-12-10,Avenue,LUNCH,20.0
158,2020-12-10,Bluebird Chelsea Café,DINNER,35.0
159,2020-12-10,Bluebird Chelsea Café,LUNCH,12.0
160,2020-12-10,Bluebird Chelsea PDR,LUNCH,8.0
161,2020-12-10,Bluebird Chelsea Restaurant,DINNER,142.0
162,2020-12-10,Bluebird Chelsea Restaurant,LUNCH,47.0
163,2020-12-10,Bluebird White City,DINNER,29.0
164,2020-12-10,Butlers Wharf Chophouse Restaurant,DINNER,97.0
165,2020-12-10,Butlers Wharf Chophouse Restaurant,LUNCH,69.0
166,2020-12-10,Cantina del Ponte,DINNER,53.0
167,2020-12-10,Cantina del Ponte,LUNCH,8.0
168,2020-12-10,Coq d'Argent Grill,DINNER,75.0
169,2020-12-10,Coq d'Argent Grill,LUNCH,89.0
170,2020-12-10,Coq d'Argent Restaurant,DINNER,62.0
171,2020-12-10,Coq d'Argent Restaurant,LUNCH,82.0
172,2020-12-10,Fish Market,DINNER,15.0
173,2020-12-10,Fish Market,LUNCH,9.0
174,2020-12-10,Fiume,DINNER,53.0
175,2020-12-10,Fiume,LUNCH,9.0
176,2020-12-10,Grand Café & Restaurant,DINNER,265.0
177,2020-12-10,Grand Café & Restaurant,LUNCH,253.0
178,2020-12-10,Launceston Place,DINNER,25.0
179,2020-12-10,Launceston Place,LUNCH,9.0
180,2020-12-10,Madison Restaurant,DINNER,208.0
181,2020-12-10,New Street Grill,DINNER,60.0
182,2020-12-10,New Street Grill,LUNCH,47.0
183,2020-12-10,Old Bengal Bar,LUNCH,6.0
184,2020-12-10,Orrery,DINNER,81.0
185,2020-12-10,Orrery,LUNCH,66.0
186,2020-12-10,Paternoster Chophouse,DINNER,78.0
187,2020-12-10,Paternoster Chophouse,LUNCH,37.0
188,2020-12-10,Plateau Restaurant,DINNER,12.0
189,2020-12-10,Plateau Restaurant,LUNCH,10.0
190,2020-12-10,Plateau Terrace,DINNER,14.0
191,2020-12-10,Plateau Terrace,LUNCH,9.0
