,Restaurant,Week,Day,This Week,Last Week,Last Year,vs. LW,vs. LW %,vs. LY,vs. LY %
25,100 Wardour St,This Week,Tuesday,6.0,0.0,504.0,6.0,6.0,-498.0,-0.9880952380952381
26,100 Wardour St,This Week,Wednesday,60.0,10.0,510.0,50.0,5.0,-450.0,-0.8823529411764706
24,100 Wardour St,This Week,Thursday,141.0,83.0,925.0,58.0,0.6987951807228916,-784.0,-0.8475675675675676
21,100 Wardour St,This Week,Friday,259.0,205.0,1207.0,54.0,0.2634146341463415,-948.0,-0.7854183927091963
22,100 Wardour St,This Week,Saturday,695.0,694.0,1169.0,1.0,0.001440922190201729,-474.0,-0.40547476475620187
23,100 Wardour St,This Week,Sunday,213.0,89.0,342.0,124.0,1.3932584269662922,-129.0,-0.37719298245614036
6,100 Wardour St,This Week,Full Week,1374.0,1081.0,4657.0,293.0,0.27104532839962997,-3283.0,-0.7049602748550569
10,100 Wardour St,Next Week,Monday,11.0,3.0,216.0,8.0,2.6666666666666665,-205.0,-0.9490740740740741
14,100 Wardour St,Next Week,Tuesday,27.0,0.0,426.0,27.0,27.0,-399.0,-0.9366197183098591
15,100 Wardour St,Next Week,Wednesday,35.0,30.0,712.0,5.0,0.16666666666666666,-677.0,-0.9508426966292135
13,100 Wardour St,Next Week,Thursday,190.0,65.0,677.0,125.0,1.9230769230769231,-487.0,-0.7193500738552437
9,100 Wardour St,Next Week,Friday,159.0,181.0,563.0,-22.0,-0.12154696132596685,-404.0,-0.7175843694493783
11,100 Wardour St,Next Week,Saturday,564.0,541.0,922.0,23.0,0.04251386321626617,-358.0,-0.3882863340563991
12,100 Wardour St,Next Week,Sunday,100.0,156.0,203.0,-56.0,-0.358974358974359,-103.0,-0.5073891625615764
3,100 Wardour St,Next Week,Full Week,1086.0,976.0,3719.0,110.0,0.11270491803278689,-2633.0,-0.7079860177467061
35,100 Wardour St,Two Weeks,Monday,10.0,3.0,10.0,7.0,2.3333333333333335,0.0,0.1
39,100 Wardour St,Two Weeks,Tuesday,32.0,16.0,71.0,16.0,1.0,-39.0,-0.5492957746478874
40,100 Wardour St,Two Weeks,Wednesday,29.0,23.0,0.0,6.0,0.2608695652173913,29.0,29.0
38,100 Wardour St,Two Weeks,Thursday,30.0,161.0,0.0,-131.0,-0.8136645962732919,30.0,30.0
34,100 Wardour St,Two Weeks,Friday,9.0,105.0,178.0,-96.0,-0.9142857142857143,-169.0,-0.949438202247191
36,100 Wardour St,Two Weeks,Saturday,19.0,535.0,329.0,-516.0,-0.9644859813084112,-310.0,-0.9422492401215805
37,100 Wardour St,Two Weeks,Sunday,89.0,50.0,111.0,39.0,0.78,-22.0,-0.1981981981981982
8,100 Wardour St,Two Weeks,Full Week,218.0,893.0,699.0,-675.0,-0.7558790593505039,-481.0,-0.6881258941344778
28,100 Wardour St,Three Weeks,Monday,15.0,2.0,0.0,13.0,6.5,15.0,15.0
32,100 Wardour St,Three Weeks,Tuesday,4.0,14.0,318.0,-10.0,-0.7142857142857143,-314.0,-0.9874213836477987
33,100 Wardour St,Three Weeks,Wednesday,24.0,24.0,0.0,0.0,0.041666666666666664,24.0,24.0
31,100 Wardour St,Three Weeks,Thursday,74.0,17.0,7.0,57.0,3.3529411764705883,67.0,9.571428571428571
27,100 Wardour St,Three Weeks,Friday,4.0,9.0,19.0,-5.0,-0.5555555555555556,-15.0,-0.7894736842105263
29,100 Wardour St,Three Weeks,Saturday,16.0,17.0,82.0,-1.0,-0.058823529411764705,-66.0,-0.8048780487804879
30,100 Wardour St,Three Weeks,Sunday,10.0,71.0,31.0,-61.0,-0.8591549295774648,-21.0,-0.6774193548387096
7,100 Wardour St,Three Weeks,Full Week,147.0,154.0,457.0,-7.0,-0.045454545454545456,-310.0,-0.6783369803063457
1162,100 Wardour St,Four Weeks,Monday,0.0,17.0,0.0,-17.0,-1.0,0.0,1.0
